Name,X,Y,,,,
雨花区,113.016337,28.109937,5.016337,4.109937,71.66195714,58.71338571
望城区,112.819549,28.347458,4.819549,4.347458,68.8507,62.10654286
长沙县,113.080098,28.237888,5.080098,4.237888,72.57282857,60.54125714
浏阳市,113.633301,28.141112,5.633301,4.141112,80.47572857,59.15874286
宁乡市,112.553182,28.253928,4.553182,4.253928,65.04545714,60.7704
北湖区,113.032208,25.792628,5.032208,1.792628,71.88868571,25.60897143
苏仙区,113.038698,25.793157,5.038698,1.793157,71.9814,25.61652857
桂阳县,112.734466,25.737447,4.734466,1.737447,67.63522857,24.82067143
宜章县,112.947884,25.394345,4.947884,1.394345,70.68405714,19.91921429
永兴县,113.114819,26.129392,5.114819,2.129392,73.06884286,30.41988571
嘉禾县,112.370618,25.587309,4.370618,1.587309,62.4374,22.67584286
临武县,112.564589,25.279119,4.564589,1.279119,65.20841429,18.27312857
汝城县,113.685686,25.553759,5.685686,1.553759,81.22408571,22.19655714
桂东县,113.945879,26.073917,5.945879,2.073917,84.94112857,29.62738571
安仁县,113.27217,26.708625,5.27217,2.708625,75.31671429,38.69464286
资兴市,113.23682,25.974152,5.23682,1.974152,74.81171429,28.20217143
珠晖区,112.626324,26.891063,4.626324,2.891063,66.09034286,41.3009
雁峰区,112.612241,26.893694,4.612241,2.893694,65.88915714,41.33848571
石鼓区,112.607635,26.903908,4.607635,2.903908,65.82335714,41.4844
蒸湘区,112.570608,26.89087,4.570608,2.89087,65.2944,41.29814286
南岳区,112.734147,27.240536,4.734147,3.240536,67.63067143,46.29337143
衡阳县,112.379643,26.962388,4.379643,2.962388,62.56632857,42.31982857
衡南县,112.677459,26.739973,4.677459,2.739973,66.82084286,39.14247143
衡山县,112.86971,27.234808,4.86971,3.234808,69.56728571,46.21154286
衡东县,112.950412,27.083531,4.950412,3.083531,70.72017143,44.05044286
祁东县,112.111192,26.787109,4.111192,2.787109,58.73131429,39.81584286
耒阳市,112.847215,26.414162,4.847215,2.414162,69.24592857,34.48802857
常宁市,112.396821,26.406773,4.396821,2.406773,62.81172857,34.38247143
零陵区,111.626348,26.223347,3.626348,2.223347,51.80497143,31.7621
冷水滩区,111.607156,26.434364,3.607156,2.434364,51.5308,34.77662857
祁阳市,111.85734,26.585929,3.85734,2.585929,55.10485714,36.94184286
东安县,111.313035,26.397278,3.313035,2.397278,47.32907143,34.24682857
双牌县,111.662146,25.959397,3.662146,1.959397,52.31637143,27.99138571
道县,111.591614,25.518444,3.591614,1.518444,51.30877143,21.69205714
江永县,111.346803,25.268154,3.346803,1.268154,47.81147143,18.11648571
宁远县,111.944529,25.584112,3.944529,1.584112,56.35041429,22.63017143
蓝山县,112.194195,25.375255,4.194195,1.375255,59.91707143,19.6465
新田县,112.220341,25.906927,4.220341,1.906927,60.29058571,27.24181429
江华瑶族自治县,111.577276,25.182596,3.577276,1.182596,51.10394286,16.89422857
武陵区,111.690718,29.040477,3.690718,5.040477,52.72454286,72.00681429
鼎城区,111.685327,29.014426,3.685327,5.014426,52.64752857,71.63465714
安乡县,112.172289,29.414483,4.172289,5.414483,59.60412857,77.34975714
汉寿县,111.968506,28.907319,3.968506,4.907319,56.69294286,70.10455714
澧县,111.761682,29.64264,3.761682,5.64264,53.73831429,80.60914286
临澧县,111.645602,29.443217,3.645602,5.443217,52.08002857,77.76024286
桃源县,111.484503,28.902734,3.484503,4.902734,49.77861429,70.03905714
石门县,111.379087,29.584703,3.379087,5.584703,48.27267143,79.78147143
津市市,111.879609,29.630867,3.879609,5.630867,55.42298571,80.44095714
,109.174443,25.182596,,,,
,113.945879,29.64264,,,,
,108,24,,,,
,115,31,,,,
