time,epoch,batch,loss,cost
0min0sec,0,0,-3.023,656.113
0min9sec,0,20,18.350,646.431
0min9sec,0,40,11.198,645.166
0min9sec,0,60,13.569,632.405
0min9sec,0,80,18.140,613.033
0min18sec,1,0,-219.129,522.074
0min9sec,1,20,-136.637,498.933
0min8sec,1,40,-81.300,481.571
0min9sec,1,60,-54.103,469.448
0min9sec,1,80,-23.101,458.049
0min18sec,2,0,59.499,405.322
0min8sec,2,20,25.162,417.495
0min8sec,2,40,35.069,414.452
0min8sec,2,60,16.016,420.221
0min9sec,2,80,13.170,420.424
0min18sec,3,0,-260.687,453.307
0min9sec,3,20,-97.606,405.588
0min10sec,3,40,-102.319,408.757
0min10sec,3,60,-86.450,404.979
0min8sec,3,80,-77.011,402.927
0min18sec,4,0,-4.916,393.260
0min9sec,4,20,-77.529,402.886
0min9sec,4,40,-71.627,400.896
0min9sec,4,60,-62.316,398.226
0min9sec,4,80,-45.426,394.091
0min18sec,5,0,-203.004,382.761
0min10sec,5,20,-104.669,353.282
0min8sec,5,40,-104.264,353.921
0min8sec,5,60,-100.357,350.725
0min9sec,5,80,-87.215,345.119
0min18sec,6,0,-167.940,362.487
0min8sec,6,20,-117.643,326.116
0min8sec,6,40,-125.745,328.729
0min9sec,6,60,-120.771,326.214
0min9sec,6,80,-112.073,323.145
0min18sec,7,0,-90.630,289.144
0min8sec,7,20,-79.803,297.696
0min9sec,7,40,-85.855,299.486
0min9sec,7,60,-83.628,300.141
0min9sec,7,80,-81.301,299.177
0min16sec,8,0,-162.217,312.527
0min8sec,8,20,-195.351,345.306
0min9sec,8,40,-194.384,343.637
0min8sec,8,60,-187.563,342.005
0min9sec,8,80,-179.261,338.960
0min17sec,9,0,-31.651,286.956
0min8sec,9,20,-70.022,293.338
0min8sec,9,40,-76.544,295.078
0min10sec,9,60,-82.787,296.807
0min9sec,9,80,-93.946,301.190
0min17sec,10,0,-106.552,322.335
0min8sec,10,20,-126.065,317.538
0min9sec,10,40,-126.206,317.355
0min9sec,10,60,-156.607,330.645
0min9sec,10,80,-176.482,339.070
0min18sec,11,0,-300.378,386.427
0min9sec,11,20,-263.619,375.221
0min9sec,11,40,-231.295,362.507
0min8sec,11,60,-208.061,354.231
0min8sec,11,80,-187.941,344.659
0min17sec,12,0,-75.304,286.439
0min8sec,12,20,-107.899,309.347
0min9sec,12,40,-108.348,309.141
0min9sec,12,60,-114.733,312.808
0min8sec,12,80,-126.620,318.053
0min17sec,13,0,-255.569,371.360
0min9sec,13,20,-197.451,346.603
0min8sec,13,40,-170.002,336.260
0min9sec,13,60,-158.291,331.034
0min9sec,13,80,-143.099,323.369
0min17sec,14,0,-143.098,319.480
0min10sec,14,20,-203.094,343.787
0min9sec,14,40,-184.148,336.997
0min9sec,14,60,-161.512,328.742
0min9sec,14,80,-134.273,318.019
0min16sec,15,0,-71.043,313.842
0min8sec,15,20,-97.340,303.889
0min9sec,15,40,-112.994,312.288
0min8sec,15,60,-154.267,329.771
0min9sec,15,80,-202.103,348.325
0min16sec,16,0,-389.155,409.495
0min9sec,16,20,-358.841,409.984
0min8sec,16,40,-337.547,403.863
0min8sec,16,60,-314.570,394.489
0min8sec,16,80,-294.824,385.883
