time,epoch,batch,loss,cost
0min0sec,0,0,0.960,608.286
0min9sec,0,20,10.440,617.423
0min9sec,0,40,4.950,625.493
0min10sec,0,60,1.832,629.945
0min9sec,0,80,5.527,634.393
0min17sec,1,0,-787.341,720.956
0min9sec,1,20,-488.261,643.408
0min9sec,1,40,-434.850,628.305
0min9sec,1,60,-420.161,620.391
0min9sec,1,80,-387.415,609.316
0min18sec,2,0,-85.293,520.370
0min9sec,2,20,-192.532,541.271
0min9sec,2,40,-177.646,534.507
0min9sec,2,60,-181.209,535.216
0min9sec,2,80,-177.165,533.634
0min20sec,3,0,13.515,472.078
0min9sec,3,20,17.443,461.023
0min9sec,3,40,24.620,455.117
0min9sec,3,60,34.352,451.364
0min9sec,3,80,15.210,459.633
0min20sec,4,0,-147.698,443.974
0min9sec,4,20,-159.559,445.752
0min9sec,4,40,-135.982,443.682
0min9sec,4,60,-105.938,433.607
0min9sec,4,80,-73.869,424.716
0min18sec,5,0,152.493,375.403
0min9sec,5,20,-65.527,379.253
0min9sec,5,40,-89.714,382.544
0min9sec,5,60,-100.179,387.976
0min9sec,5,80,-103.515,390.328
0min17sec,6,0,-372.407,477.569
0min9sec,6,20,-167.181,411.843
0min9sec,6,40,-159.622,411.056
0min9sec,6,60,-125.984,400.934
0min9sec,6,80,-108.032,390.647
0min17sec,7,0,-277.518,430.686
0min9sec,7,20,-99.861,383.523
0min8sec,7,40,-27.931,358.364
0min9sec,7,60,1.299,347.005
0min10sec,7,80,9.701,343.132
0min17sec,8,0,-108.736,335.168
0min9sec,8,20,-109.130,320.629
0min8sec,8,40,-100.728,317.806
0min9sec,8,60,-136.916,328.951
0min9sec,8,80,-188.083,349.016
0min16sec,9,0,-387.936,403.230
0min9sec,9,20,-285.154,387.105
0min9sec,9,40,-279.923,385.127
0min9sec,9,60,-268.709,380.935
0min9sec,9,80,-253.067,373.012
0min16sec,10,0,-132.658,342.159
0min9sec,10,20,-163.849,341.385
0min9sec,10,40,-156.743,339.007
0min9sec,10,60,-144.240,332.858
0min9sec,10,80,-129.801,327.538
0min19sec,11,0,-170.896,349.371
0min9sec,11,20,-178.408,354.576
0min9sec,11,40,-195.428,359.420
0min9sec,11,60,-216.109,369.424
0min9sec,11,80,-227.941,372.335
0min17sec,12,0,-167.432,346.888
0min10sec,12,20,-247.953,371.465
0min9sec,12,40,-279.741,381.223
0min9sec,12,60,-273.288,379.468
0min9sec,12,80,-249.054,371.549
0min17sec,13,0,-220.324,382.518
0min9sec,13,20,-158.185,342.443
0min9sec,13,40,-139.706,339.048
0min9sec,13,60,-133.105,336.857
0min9sec,13,80,-141.283,339.921
0min17sec,14,0,-132.904,345.110
0min9sec,14,20,-182.153,354.482
0min9sec,14,40,-160.535,345.391
0min8sec,14,60,-139.651,336.635
0min9sec,14,80,-116.956,327.837
0min17sec,15,0,-231.484,379.949
0min9sec,15,20,-275.578,394.879
0min9sec,15,40,-220.060,376.288
0min9sec,15,60,-187.420,360.954
0min8sec,15,80,-171.963,351.945
0min18sec,16,0,-270.176,349.364
0min9sec,16,20,-150.572,311.581
0min9sec,16,40,-137.141,310.327
0min10sec,16,60,-133.923,307.203
0min9sec,16,80,-141.200,310.219
0min18sec,17,0,-122.935,279.734
0min8sec,17,20,-112.098,297.711
0min8sec,17,40,-102.602,294.858
0min9sec,17,60,-111.192,300.115
0min8sec,17,80,-115.022,300.220
0min17sec,18,0,-103.464,288.278
0min8sec,18,20,-109.604,293.762
0min9sec,18,40,-106.655,295.508
0min9sec,18,60,-110.252,297.019
0min9sec,18,80,-105.765,296.426
0min17sec,19,0,-356.635,378.663
0min9sec,19,20,-154.637,313.026
0min9sec,19,40,-132.450,305.555
0min9sec,19,60,-122.283,304.861
0min9sec,19,80,-132.376,312.211
0min17sec,20,0,-80.512,310.212
0min9sec,20,20,-126.764,305.410
0min9sec,20,40,-190.654,330.109
0min9sec,20,60,-198.697,332.755
0min10sec,20,80,-190.877,328.124
0min20sec,21,0,-347.841,378.127
0min9sec,21,20,-214.260,344.807
0min9sec,21,40,-205.441,344.209
0min9sec,21,60,-244.173,358.952
0min9sec,21,80,-246.777,360.733
0min18sec,22,0,-239.318,380.098
0min9sec,22,20,-236.954,352.839
0min9sec,22,40,-245.911,359.435
0min8sec,22,60,-267.951,369.104
0min9sec,22,80,-277.865,374.379
0min18sec,23,0,-238.944,349.015
0min9sec,23,20,-453.215,443.862
0min9sec,23,40,-446.352,449.029
0min9sec,23,60,-441.765,451.001
0min9sec,23,80,-443.113,451.803
0min20sec,24,0,-488.813,469.016
0min9sec,24,20,-361.613,412.872
0min9sec,24,40,-351.024,410.621
0min9sec,24,60,-342.671,404.840
0min9sec,24,80,-352.827,408.362
