time,epoch,batch,loss,cost
0min0sec,0,0,1.007,842.217
0min7sec,0,20,7.237,839.631
0min6sec,0,40,5.782,831.216
0min7sec,0,60,8.484,820.779
0min6sec,0,80,7.535,809.583
0min7sec,0,100,6.587,800.231
0min7sec,0,120,9.255,792.410
0min6sec,0,140,9.339,783.636
0min7sec,0,160,7.916,777.055
0min7sec,0,180,10.563,770.395
0min7sec,0,200,12.405,757.890
0min7sec,0,220,13.190,745.294
0min7sec,0,240,13.153,730.993
0min7sec,0,260,12.493,719.328
0min7sec,0,280,12.474,708.614
0min7sec,0,300,11.260,698.820
0min6sec,0,320,10.414,689.220
0min6sec,0,340,9.228,681.180
0min6sec,0,360,9.222,671.273
0min6sec,0,380,8.748,661.361
0min6sec,0,400,8.429,652.037
0min6sec,0,420,7.980,643.691
0min6sec,0,440,6.636,637.263
0min6sec,0,460,6.473,631.542
0min6sec,0,480,6.437,625.461
0min41sec,1,0,-275.059,406.009
0min6sec,1,20,-273.936,430.473
0min6sec,1,40,-231.500,424.068
0min6sec,1,60,-288.463,443.871
0min6sec,1,80,-348.515,467.897
0min6sec,1,100,-367.930,478.891
0min6sec,1,120,-379.913,481.508
0min6sec,1,140,-393.783,486.507
0min6sec,1,160,-396.847,487.819
0min6sec,1,180,-392.308,486.395
0min6sec,1,200,-387.759,484.917
0min6sec,1,220,-377.350,483.211
0min6sec,1,240,-381.087,484.948
0min6sec,1,260,-387.640,487.253
0min6sec,1,280,-394.636,490.161
0min6sec,1,300,-405.204,493.743
0min6sec,1,320,-415.642,497.216
0min6sec,1,340,-416.669,497.686
0min6sec,1,360,-424.639,500.497
0min6sec,1,380,-432.841,503.145
0min6sec,1,400,-433.255,503.471
0min6sec,1,420,-436.994,505.107
0min6sec,1,440,-441.261,507.348
0min6sec,1,460,-442.037,508.321
0min7sec,1,480,-439.426,507.710
0min40sec,2,0,-426.325,488.333
0min6sec,2,20,-359.322,505.226
0min6sec,2,40,-381.104,508.461
0min7sec,2,60,-376.019,504.125
0min7sec,2,80,-386.522,503.868
0min7sec,2,100,-385.523,499.409
0min7sec,2,120,-381.879,495.425
0min6sec,2,140,-381.898,493.625
0min6sec,2,160,-395.211,496.822
0min6sec,2,180,-410.507,502.990
0min6sec,2,200,-410.676,502.839
0min6sec,2,220,-402.935,499.199
0min6sec,2,240,-387.773,493.863
0min6sec,2,260,-379.913,490.765
0min7sec,2,280,-366.907,484.701
0min6sec,2,300,-354.000,479.177
0min6sec,2,320,-337.055,472.106
0min6sec,2,340,-323.445,466.224
0min6sec,2,360,-317.147,463.479
0min6sec,2,380,-306.602,459.471
0min6sec,2,400,-292.643,454.325
0min6sec,2,420,-281.497,450.492
0min6sec,2,440,-274.548,447.852
0min6sec,2,460,-267.555,444.880
0min6sec,2,480,-258.707,441.654
0min41sec,3,0,-261.861,367.597
0min7sec,3,20,-186.956,365.883
0min7sec,3,40,-152.854,354.754
