time,epoch,batch,loss,cost
0min0sec,0,0,5.882,442.719
0min4sec,0,20,0.244,453.156
0min4sec,0,40,8.526,445.818
0min4sec,0,60,15.322,432.220
0min4sec,0,80,14.510,418.735
0min3sec,0,100,15.987,401.310
0min3sec,0,120,15.607,385.578
0min3sec,0,140,15.345,370.596
0min4sec,0,160,12.739,360.564
0min4sec,0,180,11.085,353.940
0min4sec,0,200,10.533,347.440
0min3sec,0,220,9.936,341.692
0min4sec,0,240,9.558,336.247
0min3sec,0,260,9.609,330.673
0min4sec,0,280,9.000,325.426
0min4sec,0,300,8.276,320.867
0min3sec,0,320,7.744,316.715
0min4sec,0,340,7.536,312.727
0min3sec,0,360,7.236,308.853
0min3sec,0,380,7.341,305.331
0min4sec,0,400,6.708,301.978
0min3sec,0,420,6.368,299.288
0min3sec,0,440,6.296,296.185
0min3sec,0,460,6.117,293.142
0min3sec,0,480,5.706,290.432
0min4sec,0,500,5.425,288.057
0min4sec,0,520,4.764,286.574
0min4sec,0,540,4.308,285.742
0min4sec,0,560,4.357,284.424
0min4sec,0,580,4.134,283.020
0min3sec,0,600,3.858,281.754
0min4sec,0,620,3.708,280.443
0min4sec,0,640,3.532,279.268
0min3sec,0,660,3.595,277.669
0min3sec,0,680,3.500,275.988
0min3sec,0,700,3.289,274.469
0min4sec,0,720,3.209,273.179
0min4sec,0,740,3.037,272.099
0min4sec,0,760,2.921,271.185
0min4sec,0,780,2.689,270.417
0min3sec,0,800,2.706,269.481
0min4sec,0,820,2.574,268.380
0min4sec,0,840,2.627,267.194
0min4sec,0,860,2.507,266.164
0min4sec,0,880,2.309,265.349
0min4sec,0,900,2.352,264.710
0min3sec,0,920,2.490,263.483
0min3sec,0,940,2.365,262.305
0min4sec,0,960,2.057,261.490
0min4sec,0,980,2.067,261.265
0min4sec,0,1000,2.223,260.452
0min3sec,0,1020,2.218,259.501
0min4sec,0,1040,2.164,258.642
0min4sec,0,1060,2.087,257.743
0min3sec,0,1080,2.086,256.913
0min3sec,0,1100,1.917,256.196
0min4sec,0,1120,1.842,255.813
0min4sec,0,1140,1.804,255.277
0min3sec,0,1160,1.831,254.801
0min3sec,0,1180,1.812,254.200
0min3sec,0,1200,1.806,253.512
0min3sec,0,1220,1.739,252.867
0min4sec,0,1240,1.657,252.371
0min3sec,0,1260,1.638,251.798
0min3sec,0,1280,1.643,251.174
0min3sec,0,1300,1.554,250.560
0min4sec,0,1320,1.463,250.217
0min3sec,0,1340,1.520,249.815
0min3sec,0,1360,1.501,249.370
0min3sec,0,1380,1.561,248.844
0min3sec,0,1400,1.531,248.162
0min3sec,0,1420,1.522,247.483
0min3sec,0,1440,1.542,246.831
0min3sec,0,1460,1.392,246.362
0min4sec,0,1480,1.441,246.123
0min3sec,0,1500,1.508,245.625
0min3sec,0,1520,1.508,245.103
0min3sec,0,1540,1.480,244.631
0min3sec,0,1560,1.466,244.144
0min3sec,0,1580,1.431,243.707
0min3sec,0,1600,1.428,243.319
0min3sec,0,1620,1.422,242.854
0min3sec,0,1640,1.393,242.381
0min3sec,0,1660,1.414,241.960
0min3sec,0,1680,1.387,241.519
0min3sec,0,1700,1.353,241.126
