time,epoch,batch,loss,cost
0min0sec,0,0,136.668,397.811
0min3sec,0,20,881.368,393.514
0min2sec,0,40,1315.989,372.786
0min2sec,0,60,956.470,360.317
0min2sec,0,80,768.117,350.469
0min3sec,0,100,700.633,342.520
0min2sec,0,120,549.799,334.953
0min2sec,0,140,323.012,328.525
0min2sec,0,160,228.620,323.037
0min3sec,0,180,75.934,318.827
0min2sec,0,200,-21.164,315.236
0min2sec,0,220,-128.187,311.716
0min3sec,0,240,-234.397,309.027
0min2sec,0,260,-233.423,306.098
0min3sec,0,280,-283.527,303.345
0min2sec,0,300,-316.819,300.816
0min3sec,0,320,-367.021,298.999
0min3sec,0,340,-358.303,296.357
0min3sec,0,360,-403.720,293.619
0min3sec,0,380,-457.136,290.988
0min3sec,0,400,-481.383,288.685
0min3sec,0,420,-490.703,286.738
0min3sec,0,440,-481.206,286.012
0min3sec,0,460,-469.653,284.848
0min4sec,0,480,-481.749,283.112
0min3sec,0,500,-520.284,281.586
0min3sec,0,520,-542.302,280.397
0min3sec,0,540,-562.412,279.691
0min2sec,0,560,-549.536,278.358
0min3sec,0,580,-576.540,277.115
0min3sec,0,600,-609.365,276.466
0min4sec,0,620,-666.718,276.370
0min4sec,0,640,-683.654,276.607
0min4sec,0,660,-710.043,276.837
0min4sec,0,680,-680.203,276.734
0min4sec,0,700,-694.905,276.718
0min4sec,0,720,-710.935,277.045
0min4sec,0,740,-731.533,277.380
0min3sec,0,760,-699.047,277.059
0min3sec,0,780,-688.415,276.574
0min4sec,0,800,-727.402,276.118
0min4sec,0,820,-750.239,275.941
0min4sec,0,840,-762.883,275.907
0min3sec,0,860,-766.168,275.771
0min3sec,0,880,-771.999,275.490
0min3sec,0,900,-801.726,275.520
0min4sec,0,920,-823.511,275.525
0min3sec,0,940,-814.238,274.823
0min4sec,0,960,-843.623,274.625
0min3sec,0,980,-825.919,274.269
0min3sec,0,1000,-847.406,273.862
0min3sec,0,1020,-874.891,273.691
0min3sec,0,1040,-871.948,273.151
