time,epoch,batch,loss,cost
0min0sec,0,0,4.084,823.167
0min7sec,0,20,20.155,799.867
0min7sec,0,40,16.839,794.298
0min7sec,0,60,11.469,784.586
0min7sec,0,80,9.898,781.021
0min7sec,0,100,12.401,770.109
0min7sec,0,120,10.125,757.747
0min7sec,0,140,7.867,747.460
0min7sec,0,160,5.768,737.010
0min7sec,0,180,1.582,728.063
0min7sec,0,200,0.311,717.628
0min7sec,0,220,-2.350,707.812
0min7sec,0,240,-4.560,698.445
0min7sec,0,260,-7.593,689.627
0min7sec,0,280,-9.603,682.979
0min7sec,0,300,-10.385,676.125
0min7sec,0,320,-10.673,668.257
0min7sec,0,340,-12.031,661.592
0min7sec,0,360,-12.600,655.603
0min7sec,0,380,-12.317,648.851
0min7sec,0,400,-11.863,640.766
0min7sec,0,420,-11.394,632.446
0min7sec,0,440,-10.667,623.727
0min7sec,0,460,-10.767,615.356
