time,epoch,batch,loss,cost
0min14sec,0,0,-3.261,956.069
2min8sec,0,20,12.400,942.746
1min28sec,0,40,8.697,931.370
1min26sec,0,60,10.571,918.599
1min22sec,0,80,9.919,908.030
10min37sec,1,0,-273.403,865.600
2min36sec,1,20,-306.695,857.573
2min9sec,1,40,-330.317,859.692
2min50sec,1,60,-341.362,865.133
3min52sec,1,80,-352.517,867.192
14min3sec,2,0,-271.605,870.450
3min32sec,2,20,-366.678,873.602
3min15sec,2,40,-413.183,885.368
2min33sec,2,60,-465.168,902.729
2min54sec,2,80,-503.952,917.273
13min35sec,3,0,-423.525,929.483
2min39sec,3,20,-547.827,948.041
2min7sec,3,40,-564.276,954.169
2min49sec,3,60,-545.037,950.900
4min11sec,3,80,-522.947,939.137
17min47sec,4,0,-612.719,921.946
2min48sec,4,20,-467.215,930.918
3min9sec,4,40,-491.180,938.664
2min52sec,4,60,-506.384,942.937
2min27sec,4,80,-526.855,947.577
13min17sec,5,0,-621.959,969.530
4min12sec,5,20,-488.053,941.501
3min9sec,5,40,-493.109,940.999
3min41sec,5,60,-510.220,944.196
3min48sec,5,80,-507.843,939.658
16min32sec,6,0,-503.091,906.252
3min29sec,6,20,-397.848,889.175
3min0sec,6,40,-370.707,883.140
3min3sec,6,60,-385.817,893.327
4min2sec,6,80,-394.599,899.557
15min58sec,7,0,-392.715,880.581
4min32sec,7,20,-356.207,870.498
3min3sec,7,40,-349.828,868.178
3min40sec,7,60,-323.248,860.265
3min5sec,7,80,-285.284,846.922
16min52sec,8,0,-286.736,833.671
5min7sec,8,20,-186.850,803.719
3min11sec,8,40,-172.794,797.301
3min22sec,8,60,-141.381,790.043
2min40sec,8,80,-132.337,792.126
18min39sec,9,0,-341.623,798.816
4min0sec,9,20,-285.121,774.845
3min4sec,9,40,-283.644,764.309
4min18sec,9,60,-313.577,774.249
3min36sec,9,80,-342.252,784.783
16min20sec,10,0,-598.420,803.450
3min18sec,10,20,-419.552,812.512
3min14sec,10,40,-458.548,822.091
3min27sec,10,60,-432.105,813.857
3min49sec,10,80,-403.262,803.608
14min57sec,11,0,-343.901,798.426
3min45sec,11,20,-352.801,792.622
3min22sec,11,40,-345.211,788.237
2min27sec,11,60,-350.171,790.498
2min49sec,11,80,-329.728,782.264
18min27sec,12,0,-145.016,748.351
3min23sec,12,20,-337.195,752.525
3min19sec,12,40,-370.602,763.153
3min35sec,12,60,-378.377,765.270
3min11sec,12,80,-370.247,761.613
16min31sec,13,0,-499.131,768.102
4min8sec,13,20,-375.634,721.407
3min41sec,13,40,-365.746,720.375
3min30sec,13,60,-334.117,710.438
3min13sec,13,80,-337.101,708.269
15min57sec,14,0,-569.427,788.251
4min40sec,14,20,-434.591,760.053
3min32sec,14,40,-478.924,781.533
3min27sec,14,60,-571.827,823.167
3min30sec,14,80,-629.798,849.496
15min31sec,15,0,-827.292,964.648
3min43sec,15,20,-667.206,869.602
3min47sec,15,40,-617.832,855.014
3min50sec,15,60,-603.533,845.740
2min42sec,15,80,-593.930,839.783
18min53sec,16,0,-609.060,823.889
4min15sec,16,20,-500.699,787.267
4min5sec,16,40,-475.342,779.967
4min48sec,16,60,-484.229,779.558
3min47sec,16,80,-480.659,777.264
17min50sec,17,0,-536.155,776.820
4min3sec,17,20,-406.922,743.231
4min4sec,17,40,-430.534,749.784
3min39sec,17,60,-437.576,752.397
2min55sec,17,80,-443.031,756.092
15min51sec,18,0,-433.709,768.475
3min40sec,18,20,-495.561,793.662
3min5sec,18,40,-549.139,812.453
3min41sec,18,60,-546.872,814.005
3min14sec,18,80,-575.372,824.402
15min28sec,19,0,-587.890,817.698
4min18sec,19,20,-581.378,813.526
3min58sec,19,40,-509.354,786.869
4min50sec,19,60,-449.540,768.493
4min14sec,19,80,-414.578,754.929
23min51sec,20,0,-351.319,714.925
