epochs,loss,cost,val_cost
0,8.346120576858521,636.5495123291016,550.0
1,-352.368560295105,597.8162963867187,469.0
2,-153.28589782714843,526.0985409545898,467.0
3,13.523658590316773,459.56773498535154,398.0
4,-55.29013557434082,416.60630004882813,348.0
5,-114.45757517814636,394.78225860595705,387.0
6,-96.65926073074341,386.9833724975586,362.0
7,18.441739931106568,338.4457376098633,285.0
8,-212.8328350830078,357.26910797119143,347.0
9,-235.41542085647583,367.4313934326172,299.0
10,-127.86719592094421,328.96013610839844,326.0
11,-236.32878742218017,374.48171264648437,341.0
12,-245.70861080169678,369.89723419189454,314.0
13,-152.80499191284179,343.5828280639648,321.0
14,-128.22279945373535,333.3789892578125,381.0
15,-149.162739610672,343.22309478759763,247.0
16,-141.88301885604858,311.2012773132324,251.0
17,-118.26585489273072,301.80376388549803,245.0
18,-108.29608253479005,297.00597717285154,265.0
19,-134.63678106307984,314.1261325073242,290.0
20,-189.85440940856932,328.44523376464844,332.0
21,-237.7517332458496,358.8520977783203,295.0
22,-304.77169830322265,383.05851196289063,418.0
23,-431.6617365264893,445.58318786621095,406.0
24,-376.54197341918945,420.53895446777346,489.0
